CoE,Title,URL
BioExcel,Antibody Design through Biomolecular Interactions Engineering,https://bioexcel.eu/antibody-design-through-biomolecular-interactions-engineering/ 
BioExcel,High throughput modelling of interactomes,https://bioexcel.eu/research/projects/high-throughput-modelling-of-interactomes/
BioExcel,Electronic Interaction Phenomena: Proton Dynamics and Fluorescent Proteins,https://bioexcel.eu/research/projects/electronic-interaction-phenomena-proton-dynamics-and-fluorescent-proteins/
BioExcel,Rational Drug Design,https://bioexcel.eu/research/projects/rational-drug-design/
CEEC,Shock – Boundary Layer Interaction and Buffet on Wings at the Edge of the Flight Envelope,https://ceec-coe.eu/shock-boundary-layer-interaction-and-buffet-on-airplane-wings/
CEEC,High Fidelity Aeroelastic Simulation of the SFB 401 Wing in Flight Conditions,https://ceec-coe.eu/high-fidelity-aeroelastic-simulation/
CEEC,Topology Optimization of Static Mixers,https://ceec-coe.eu/topology-optimization/
CEEC,Localized erosion of an offshore wind-turbine foundation,https://ceec-coe.eu/localized-erosion/ 
CEEC,Simulation of Atmospheric Boundary Layer flows,https://ceec-coe.eu/atmospheric-boundary-layer-flows/
CEEC,Merchant Ship Hull,https://ceec-coe.eu/merchant-ship-hull/
EXCELLERAT P2,External aircraft aerodynamics - DLR - CODA,
EXCELLERAT P2,Hydrogen combustion for propulsion - CERFACS - AVBP,
EXCELLERAT P2,Migration of aeroacoustic noise - RWTH Aachen - m-AIA,
EXCELLERAT P2,Fully integrated aircraft simulations with emission models - BSC - Alya,
EXCELLERAT P2,"High-fidelity simulations of rotating parts KTH - NEK5000/Neko",
EXCELLERAT P2,Active control for drag reduction of transonic airfoils - CINECA - FLEW,
EXCELLERAT P2,Engineering design of digital twin of the first wall of tokamak fusion reactor - University of  Ljubljana - OpenFOAM/Raysect ,
HiDALGO2,"Urban Air Project: evolution of air in urban areas considering pollution, wind, comfort and planning. The core is the Urban Air Flow (UAP.AF) computational model, based on two main  software: OpenFOAM and Fluid-Solver. For both solvers, modelling of more physical properties will be developed including thermal convection, solar heat radiation, transport and reaction between several species.",
HiDALGO2,Urban Building: advanced building models for better integration with architecture and for pollutants and heat models.,
HiDALGO2,"Renewable Energy Sources: Solutions for production of renewable energy accustomed to 
urban and rural areas. Multiscale weather prediction based on Fortran and MPI coupled 
energy production estimation (based on AI/HPDA)",
HiDALGO2,"Wildfires: Simulations of wildfires and atmosphere interaction and smoke dispersion in forest and urban areas. Forecast of weather conditions from WRF and LES at very detailed scales, generating ensembles of weather scenarios over the landscape and coupling of CFD solutions for the detailed modeling of air flow at the settlement scale.",
MultiXscale,Helicopter design and certification for civil transport,
MultiXscale,Battery applications to support the sustainable energy transition,
MultiXscale,Ultrasound for non-invasive diagnostics and biomedical applications,
