,Code,CoE,Category,Description,Main uses,OSS?,URL1,URL2
0,Alya,"CEEC, EXCELLERAT, EoCoE",Multi-physics,"Multi-physics coupled problems  incompressible/compressible flow, solid mechanics, chemistry, particle transport, heat transfer, turbulence modeling, electrical propagation etc)",Engineering applications,,https://gitlab.com/bsc-alya/alya,
1,AutoRPE,ESiWACE3,Tool: Code optimisation,AutoRPE is a tool designed to help with the optimization of numerical precision of Computational Science models written in FORTRAN. ,Used together with ocean model NEMO,,https://earth.bsc.es/gitlab/sparonuz/AutoRPE,
2,Autosubmit,ESiWACE3,Tool: Workflow,"Python-based workflow manager to create, manage and monitor complex tasks involving different substeps, such as scientific computational experiments.","Modelling workflows, operational toolchains, data-download, etc",Yes,https://autosubmit.readthedocs.io/en/master/,
3,AVBP,EXCELLERAT,CFD,AVBP solves the compressible 3D reactive navier stokes equation using the Large Eddy Simulation approach on unstructured grids.  ,Aerospace / Safety / Energy / Transport ,,https://cerfacs.fr/avbp7x/index.php,
4,BHAC,SPACE,Astro-physics,"State-of-the art simulations of accretion flows in various fixed spacetime metrics with associated capability of modelling
electromagnetic emission and imaging at radio wavelengths.
",Black Hole accretion,Yes,https://bhac.science,
5,BIGDFT,MaX,Quantum mechanics,wavelet-based density functional theory (DFT) code ,electronic structure simulations,,https://gitlab.com/l_sim/bigdft-suite/ ,
6,"BITx, x=1,3 ",Plasma-PEPSC,Plasma physics,"BITx 1D3V/3D3V electrostatic Particle-in Cell Monte Carlo (PIC MC) code.
BITx is suitable for parallel transport of plasma, neutral and impurity particles in the scrape-off layer (SOL).
",Plasma–Material Interfaces,Yes,https://repo.tok.ipp.cas.cz/tskhakaya/bit1 ,
7,CHANGA/ GASOLINE,SPACE,Astro-physics,"SPH with tree-gravity solver for cosmological volumes and zoom-in galaxy simulations. 
Hydrodynamical simulations of astrophysical systems at all scales (including planetar system formation)","Cosmology, galaxy formation, planet formation",Yes,https://github.com/N-BodyShop/changa, https://github.com/N-BodyShop/gasoline
8,CODA,EXCELLERAT,CFD,"CODA is the CFD software being developed as part of a collaboration between the French Aerospace Lab ONERA, the German Aerospace Center (DLR), Airbus, and their European research partners. CODA solves the Reynolds-Averaged Navier-Stokes equations on unstructured grids based on second-order finite-volume and higher-order Discontinuous-Galerkin (DG) discretization.",Aerospace,,,
9,Cube,POP,Tool: Performance,"performance report explorer for Scalasca and Score-P,  a generic tool for displaying a multi-dimensional performance space consisting of the dimensions (i) performance metric, (ii) call path, and (iii) system resource",Performance measurements: performance report explorer,Yes,https://www.scalasca.org/software/cube-4.x/,
10,Dimemas,POP,Tool: Performance,"Dimemas is a performance analysis tool for message-passing programs. It enables the user to develop and tune parallel applications on a workstation, while providing an accurate prediction of their performance on the parallel target machine.",Performance measurements for message-passing programs,Yes,https://tools.bsc.es/dimemas,https://github.com/bsc-performance-tools/dimemas
11,EC-Earth4,ESiWACE3,Climate,"Earth System Model, Climate Model, Multi-physics and multi-components coupled model","Climate projections, climate predictions, process studies",,https://ec-earth.org,
12,ELMER/ICE,ChEESE,"Workflow: Multi-physics
"," based on the open source multiphysics Finite Element Model (FEM) package Elmer. Elmer is an established multiphysics package that builds on the MPI/OpenMP parallel paradigm to solve coupled visco-elastic - Reynolds flow types of model able to represent Glacier Outburst Floods (GLOFs). Interfaces to Hypre, Trilinos, MUMPS and AMGX (Nvidia) exist","Glaciers, Ice-flow, permafrost and groundwater",Yes,https://github.com/ElmerCSC/elmerfem, http://www.elmerfem.org/blog/
13,ESPResSo,MultiXSCale,"Molecular dynamics, Soft matter","molecular dynamics, Monte Carlo methods, lattice-Boltzmann hydrodynamics, diffusion-
advection-reaction methods, electrostatics, magnetostatics, fast Fourier transform (FFT)","MultiXscale-relevant applications: ionic liquids, supercapacitors, polymers,
polyelectrolytes, charged colloids, fluid dynamics, biophysics, process engineering

other applications: magnetic gels, magnetic colloids, non-Newtonian fluids, water-oil
interfaces, self-propelled bacteria, red blood cells, soot particle agglomeration",Yes,https://espressomd.org/wordpress/, https://github.com/espressomd/espresso 
14,ESSI,MultiXScale,Tool: Software distribution,"The European Environment for Scientific Software Installations (EESSI) is a collaboration between different HPC sites and industry partners, with the common goal of setting up a shared repository of (optimized) scientific software installations that can be used on a variety of Linux systems, regardless of which (version of) Linux distribution or processor architecture is used.
It acts like a streaming service for scientific software, using a spectrum of open source software to provide a robust, low-threshold, high-impact solution. It supports a wide range of CPU architectures, and is architecture-aware within the user interface.",,Yes,https://github.com/EESSI, https://www.eessi.io/ 
15,ExaHyPE,ChEESE,Seismology,"solves hyperbolic PDE systems by using high-order discontinuous Galerkin discretisation (DG, with ADER time stepping) on tree-structured dynamically adaptive Cartesian meshes. Within ChEESE-2P special emphasis is given to ExaSeis, the collection of seismic models in ExaHyPE (in particular seismic wave propagation and dynamic rupture on curvilinear meshes), on shallow-water models and on ExaHyPE’s integration with the MIT Uncertainty Quantification (MUQ) library for uncertainty quantification problems. ","
ExaSeis earthquake simulation model,
Landslide/tsunami model in development",Yes,www.exahype.org, https://gitlab.lrz.de/exahype
16,Extrae,POP,Tool: Performance,package devoted to generate Paraver trace-files for a post-mortem analysis,Performance measurements,Yes,https://tools.bsc.es/extrae , https://github.com/bsc-performance-tools/extrae
17,FALL3D,ChEESE,Atmospheric transport," off-line Eulerian model for the atmospheric transport and ground deposition of particles, aerosols and radionuclides. The model solves a set of Advection Diffusion Sedimentation (ADS) equations on a structured terrain-following grid using a finite volume (FV) explicit scheme. The model is mainly used for capacity runs (probabilistic hazard assessment) and urgent computing forecasts.",Forecast and reanalyses of atmospheric dispersal phenomena,Yes,https://gitlab.com/fall3d-suite/fall3d-gpu,
18,FDO4ESM,ESiWACE3,Tool: Data management,FDO4ESM will be a software package to apply FDO requirements to ESM output data according to the specifications developed within in Task 3.3,Ensuring (global) machine actionability of ESM output data to enable automated analysis. ,,,
19,FIL,SPACE,Astro-physics,"State-of-the  art simulations of Binary Neutron Star and Neutron Star - Black Hole mergers with the modelling of Gravitational Wave signals, magnetic field turbulence and properties of the ejected matter.","Magnetised fluids in dynamical, strongly curved spacetimes",Yes,"https://www.space-coe.eu/codes.php#fil


",
20,FLEUR,MaX,Quantum mechanics,all-electron density functional theory code based on the full-potential linearized augmented plane wave (FLAPW) method,"electronically and magnetically complex materials, for example materials involving transition metals, heavy or rare-earth elements and thus is frequently used to calculate magnetic or spin-dependent properties in metals or complex oxide materials",,https://iffgit.fz-juelich.de/fleur/fleur,
21,FLEW,EXCELLERAT,CFD,"High-order finite-difference solver for 
compressible flow simulations.
Complex geometries are handled 
through the use of structured 
body-fitted meshes in a generalized 
curvilinear coordinate system.  ",Aeronautical applications,,,
22,FLEXI,CEEC,CFD,"high-order accurate solver for general PDEs of hyperbolic/parabolic-type based on the discontinuous variant of the spectral element method (SEM), the discontinuous Galerkin (DG) and spectral element method (DGSEM)","Engineering applications (DNS, LES, turbulent flows, shock-turbulence interactions)",Yes,https://github.com/flexi-framework/flexi,https://numericsresearchgroup.org/flexi_index.html
23,GENE,Plasma-PEPSC,Plasma physics,"GENE is a gyrokinetic turbulence code that can quantitatively describe the underlying
physical processes, and it has been successfully compared to experimental data from existing
mid-scale fusion devices numerous times.",Magnetically Confined Plasmas,Yes,https://gitlab.mpcdf.mpg.de/users/sign_in,
24,GROMACS,BioExcel,Molecular dynamics,GROMACS is a molecular simulation suite,"Biomedical (biomolecules), polymers, nanoflow",Yes,https://www.gromacs.org, https://gitlab.com/gromacs/gromacs.git
25,Gysela-X,EoCoE,Plasma physics,GYSELA-X is a global full-f nonlinear gyrokinetic code that simulates electrostatic plasma turbulence and transport in the core of Tokamak devices.,"Tokamak devices, plasma physics, turbulence",Yes,https://gyselax.github.io/,
26,HADDOCK3,BioExcel,Molecular dynamics,"HADDOCK (High Ambiguity Driven protein-protein DOCKing) is an information-driven flexible docking approach for the modeling of biomolecular complexes.
",biomolecular complexes,Yes,https://www.bonvinlab.org/haddock3/intro.html,
27,HySEA,ChEESE,Seismology,"a suite composed of several codes for tsunami simulations, including seismic sources and landslide generated tsunamis or meteotsunamis, with and without dispersion, and with the hydrodynamic model being a one-layer shallow water model or implementing a multilayer approach in order to capture a more complex vertical structure of the simulated solutions. ","Simulation of earthquake generated tsunamis, aerial or submarine landslide-generated tsunamis and meteo-tsunamis ",Yes,https://edanya.uma.es/hysea/index.php/download,
28,ICON,ESiWACE3,Climate,Climate and Weather prediction model used in production for NWP (DWD) and scientific applications,"German weather forcase at DWD, scientifc application in many institutions across Germany, part of the national earth simulation modelling strategy",Y?,https://code.mpimet.mpg.de/projects/iconpublic,
29,IFS,ESiWACE3,Climate,Global weather prediction model used in operational numerical weather predictions at ECMWF,Operational weather predictions at ECMWF. Use for Extremes and Climate Digital Twins of Destination Earth. The open component (OpenIFS) is also used for climate simulations in EC-Earth,,https://www.ecmwf.int/en/forecasts/documentation-and-support/changes-ecmwf-model,
