,,,,,,,
Code,CoE,Category,Description,Main uses,URLs,Owner,OSS?
Alya,"CEEC, 
EXCELLERAT, 
EoCoE",Multi-physics,"Multi-physics coupled problems  incompressible/compressible flow, solid mechanics, chemistry, particle transport, heat transfer, turbulence modeling, electrical propagation etc)",Engineering applications,"https://gitlab.com/bsc-alya/alya, https://bsc.es/research-development/research-areas/engineering-simulations/alya-high-performance-computational",BSC,N
AutoRPE,ESiWACE3,Tool: Code optimisation,AutoRPE is a tool designed to help with the optimization of numerical precision of Computational Science models written in FORTRAN. ,Used together with ocean model NEMO,https://earth.bsc.es/gitlab/sparonuz/AutoRPE,BSC,
Autosubmit,ESiWACE3,Tool: Workflow,"Python-based workflow manager to create, manage and monitor complex tasks involving different substeps, such as scientific computational experiments.","Modelling workflows, operational toolchains, data-download, etc",https://autosubmit.readthedocs.io/en/master/,BSC,Y
AVBP,EXCELLERAT,CFD,AVBP solves the compressible 3D reactive navier stokes equation using the Large Eddy Simulation approach on unstructured grids.  ,Aerospace / Safety / Energy / Transport ,https://cerfacs.fr/avbp7x/index.php,CERFACS,N
BHAC,SPACE,Astro-physics,"State-of-the art simulations of accretion flows in various fixed spacetime metrics with associated capability of modelling
electromagnetic emission and imaging at radio wavelengths.
",Black Hole accretion,https://bhac.science,"Responsible Partner: GUF
Main developer: Oliver Porth,
Hector Olivares,
Luciano Rezzolla
",Y
BIGDFT,MaX,Quantum mechanics,wavelet-based density functional theory (DFT) code ,electronic structure simulations,https://gitlab.com/l_sim/bigdft-suite/ http://www.max-centre.eu/codes-max/bigdft,"CEA (FR), Uni Basel (CH)",
"BITx, x=1,3 ",Plasma-PEPSC,Plasma physics,"BITx 1D3V/3D3V electrostatic Particle-in Cell Monte Carlo (PIC MC) code.
BITx is suitable for parallel transport of plasma, neutral and impurity particles in the scrape-off layer (SOL).
",Plasma–Material Interfaces,https://repo.tok.ipp.cas.cz/tskhakaya/bit1 ,"IPP of the Czech Academy of Sciences, Prague, Czech Republic",Y
CFDR,HiDALGO2,Tool: Visualization (CFD),CFDR (CFD rendering) enables web-based visualization of HPC runs. CFDR-compile runs on the HPC machine and extract data for web-based visualization.,"Urban Air Project: airflow, urban wind comfort, urban air pollution. Industrial flow simulation.",https://portal.hidalgo2.eu/,SZE (Széchenyi István University),N
CHANGA/ GASOLINE,SPACE,Astro-physics,"SPH with tree-gravity solver for cosmological volumes and zoom-in galaxy simulations. 
Hydrodynamical simulations of astrophysical systems at all scales (including planetar system formation)","Cosmology, galaxy formation, planet formation","https://github.com/N-BodyShop/changa
https://github.com/N-BodyShop/gasoline","Responsible Partner: UiO
Main developer:  Thomas Quinn, ames Wadsley
",Y
CODA,EXCELLERAT,CFD,"CODA is the CFD software being developed as part of a collaboration between the French Aerospace Lab ONERA, the German Aerospace Center (DLR), Airbus, and their European research partners. CODA solves the Reynolds-Averaged Navier-Stokes equations on unstructured grids based on second-order finite-volume and higher-order Discontinuous-Galerkin (DG) discretization.",Aerospace,No public access,"ONERA, DLR, Airbus",N
